,brand,model,model_year,list_price,color,configration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,dealer_address
156,Saab,9-3,2011,"$7,990",Black,Turbo4 XWD **LEATHER-ROOF-ALLOYS-TRADE-IN SPECIAL**,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"149,000",https://www.carproof.com/order?ref=kijiji&vin=YS3FA4BYXB1303245,na
157,Other,Other,2022,"$17,585",Black,850 ET,Used,Other,All-wheel drive (AWD),Automatic,Gasoline,78,https://www.carproof.com/order?ref=kijiji&vin=2BPSUGNA6NV000287,"2430 Finch Ave West,, North York, ON, M9M 2E1"
158,Mercedes-Benz,S-Class,2009,"$16,385",Silver,//AMG | NAVI | BI-XENON | MB SERVICED,Used,Sedan,All-wheel drive (AWD),Automatic,Other,"120,805",https://www.carproof.com/order?ref=kijiji&vin=WDDNF84X99A257097,"2430 Finch Ave West,, North York, ON, M9M 2E1"
159,Toyota,Corolla,2014,"$16,890",Red,"S w/ Backup Cam, Cruise Control",Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"88,157",na,na
160,Toyota,RAV4,2017,"$24,900",White,"LE, LOW MILEAGE, BACKUP CAMERA",Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,"70,000",na,"Unit 14B-4610 Dufferin Street, North York,, ON, M3H 5S4"
161,Ford,F-350,1987,"$9,500",na,na,Used,Pickup Truck,Rear-wheel drive (RWD),Automatic,Diesel,"390,000",na,"Scarborough, ON M1C"
162,Chevrolet,Other,2012,"$23,488",White,G3500 - 12Ft Box - Ramp - V8 Gas,Used,"Minivan, Van",Rear-wheel drive (RWD),Automatic,Gasoline,"243,000",na,na
163,Ford,Fusion,2020,"$29,239",Black,Titanium,Used,Sedan,Front-wheel drive (FWD),Automatic,Hybrid-Electric,"93,150",na,"1599 Start Top Road, Gloucester, ON, K1B 5P5"
164,Mazda,CX-3,2016,"$19,400",Blue,AWD 4dr GT,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"160,488",https://www.carproof.com/order?ref=kijiji&vin=JM1DKBD74G0104001,na
165,Toyota,FJ Cruiser,2007,"$19,800",Red,4WD AT,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"243,987",https://www.carproof.com/order?ref=kijiji&vin=JTEBU11F270009666,na
166,Cadillac,ATS,2016,"$12,500",Black,Luxury Collection AWD FULLY MAINTAINED,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"241,695",https://www.carproof.com/order?ref=kijiji&vin=1g6ah5rx5g0128967,na
167,Hyundai,Elantra,2016,"$11,499",Grey,GLS,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"149,030",https://www.carproof.com/order?ref=kijiji&vin=KMHDH4AH2GU492177,na
168,Land Rover,Range Rover Evoque,2013,"$19,950",Red,Pure,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,"160,155",https://www.carproof.com/order?ref=kijiji&vin=SALVT2BG0DH780598,"3264 Danforth Avenue, Toronto, ON, M1L 1C3"
169,Nissan,MICRA,2018,"$9,900",Grey,"SR, ALLOY WHEELS",Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,"154,000",na,na
170,BMW,Z4,2006,"$18,500",na,na,Used,Coupe (2 door),na,na,na,"117,000",na,na
171,Ford,Mustang,2004,"$25,000",na,na,Used,Convertible,Rear-wheel drive (RWD),Manual,na,"83,000",na,na
172,Infiniti,EX35,2012,"$12,900",White,TOURING,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"1,280,000",na,"Scarborough, ON M1E 2M7"
173,Ford,Other,2017,"$42,488",White,E-450 - 16Ft Box + Ramp - ALL SERVICE RECORDS,Used,"Minivan, Van",Rear-wheel drive (RWD),na,Gasoline,"135,000",na,"80 Toro Road, Toronto, ON, M3J 2A8"
174,Mercedes-Benz,C-Class,2013,"$15,895",White,C350 4MATIC Sport Sedan,Used,Sedan,4 x 4,Automatic,Other,"130,603",https://www.carproof.com/order?ref=kijiji&vin=WDDGF8JB3DA766743,"4614 Kingston Rd, Scarborough, ON, M1E 2P4"
175,Dodge,Power Ram 1500,2010,na,Blue,Slt Hemi,Used,Pickup Truck,4 x 4,Automatic,Gasoline,187,na,na
176,Kia,Optima,2015,"$8,995",Grey,Navigation Leather Panoramic Sunroof One Owner Clean Carfax,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"221,000",https://www.carproof.com/order?ref=kijiji&vin=Knagn4a71f5555261,na
